time,date,scramble
00:01:633,17/01/2024,"U2 R' D2 R2 D' R' U2 L' D F' D2 F' R2 D' U' F' D2 R' L2 D F2 B "
01:53:831,17/01/2024,"U2 D' B2 F U2 L2 D' F' U D2 L F2 D F' L F B2 D2 B2 R2 L2 B' "
